,Scaled Long Interest Rate,Scaled Real Price,Scaled Real Dividend,Real Price Label
17,-1.0021009647301453,1.2781034813520828,1.4955707250103127,1993.216087338943
18,0.6832229688739083,-0.8285137309564428,-0.47912174692325377,368.4663214626392
19,-1.130937711720538,-1.0292721722567262,-1.032505349386315,280.41569665427517
20,-1.1553122314214233,2.2705963980255475,2.7849731188022173,2605.7827181603056
21,-0.6713039116467052,0.4847278702968295,0.28067331305090143,1343.1384151472653
22,0.8503625325371205,-0.7597570562286939,-0.6483097588321932,420.21383114754104
23,2.051678146366456,-0.8349445912303858,-0.5422161862258572,402.92713209733495
24,-0.8941566631976545,-1.0507948495985753,-1.0767060468093306,236.16501524163576
25,0.435995697622074,0.1386823054877737,-0.0006360940703232624,1154.1919440303225
26,-0.49023605101155887,-0.35702059836498945,-0.29353571033012427,740.5946598726117
27,2.9013042616544498,-0.9789038484885366,-0.6056496842434571,351.97796639511205
28,1.1985699568354786,-0.5481017379572094,-0.3675498911838768,601.1156455906822
29,0.33153347033256664,-0.38390949641729316,-0.17322113034660405,663.5289808625338
30,0.1922505006132232,-0.0734255756874278,-0.11512056921478446,984.0185582898174
31,-1.0485286213032599,-1.082151153001534,-0.8913853020777455,230.19827837837846
32,0.6867050431168918,-0.7128308759705293,-0.6931191216044179,468.57567525773203
33,0.6832229688739083,-0.7077818143410154,-0.5605018728143747,396.0691614000001
34,0.620545632500204,-0.5366022684748172,-0.5457227800347552,578.82
35,-1.0578141526178828,1.2790611845463584,1.4555607802126,1918.3137115172176
36,-0.5494313131422798,-0.5248507196906148,-0.6732957049541775,543.2762354304637
37,-0.36488137826414985,0.8722059237429375,-0.08813055642031666,1676.9585459627333
38,0.5961711127993188,-0.7836944286664798,-0.5428121841285672,396.3695464285715
39,-0.8732642177397529,-1.0645496362304692,-1.0787581247782203,225.32020929368034
40,-0.4937181252545424,0.9127537445371373,0.45244461659566054,1670.3765794207318
41,2.873447667710581,-0.9401113665427843,-0.5737905847318012,292.25957538461546
42,0.7389361567616457,-0.7463966080381705,-0.7096337293936851,473.11570588235304
43,1.2124982538074127,-0.8522202193601254,-0.4697423164768464,376.68392209631736
44,0.042521308164929265,1.5962529221131225,0.057605962059961574,1986.8087405482588
45,-1.0334396329169977,0.5265930679941018,0.29431980310528844,1475.4154256110305
46,-1.3015593496267335,1.8546183529535725,2.198005209323325,2306.2062364591575
47,0.14350146121145316,0.8074907262701706,0.09664155337148658,1552.7562861386143
48,-0.6295190207309022,0.27778944039439707,1.134517373157572,1067.791766812066
49,0.011182639978077077,1.1534515315490452,0.15631645999047336,1713.006100244798
50,2.3406903085340933,-0.9308285388105114,-0.6060258627882965,372.0223217213116
51,-1.1692405283933576,1.887713694228893,2.50063088064114,2092.0259835267034
52,-0.706124654076541,0.5284869757907296,0.33489016686571377,1378.8169491019205
53,0.30367687638869795,-0.028433311779314383,-0.09419402987171176,1009.8769763671878
54,0.021628862707027602,-0.22359591519532296,-0.14691949655779324,826.944412962963
55,-0.988172667758211,-1.051637524833996,-1.0419610636179852,254.03044044943823
56,-0.706124654076541,-0.7687001550280919,-0.7987973974841092,412.5341751798562
57,-0.6330010949738858,-0.765114449991839,-0.8399253670304615,404.78539293286224
58,1.2194624022933798,-0.8618895170599339,-0.47996200519194415,366.38585477178435
59,0.5439399991545649,-0.2533355677422638,-0.13875871729056205,811.544486979866
60,-0.4937181252545424,-0.39394034185488985,-0.36979627678298405,700.9287576923078
61,-1.1553122314214233,1.1999647567531626,1.412241942266821,1876.819814434399
62,-0.3613993040211663,-0.4371108464269694,-0.11702893119024653,715.7782549848944
